site_no,date,time,discharge_cfs
12045500,3/27/2025,9:45,5270
12045500,3/27/2025,10:00,5290
12045500,3/27/2025,10:15,5250
12045500,3/27/2025,10:30,5180
12045500,3/27/2025,10:45,5120
12045500,3/27/2025,11:00,5010
12045500,3/27/2025,11:15,4990
12045500,3/27/2025,11:30,4990
12045500,3/27/2025,11:45,4970
12045500,3/27/2025,12:00,4900
12045500,3/27/2025,12:15,4940
12045500,3/27/2025,12:30,4900
12045500,3/27/2025,12:45,4850
12045500,3/27/2025,13:00,4770
12045500,3/27/2025,13:15,4740
12045500,3/27/2025,13:30,4660
12045500,3/27/2025,13:45,4720
12045500,3/27/2025,14:00,4660
12045500,3/27/2025,14:15,4590
12045500,3/27/2025,14:30,4610
12045500,3/27/2025,14:45,4520
12045500,3/27/2025,15:00,4520
12045500,3/27/2025,15:15,4540
12045500,3/27/2025,15:30,4470
12045500,3/27/2025,15:45,4400
12045500,3/27/2025,16:00,4400
12045500,3/27/2025,16:15,4380
12045500,3/27/2025,16:30,4370
12045500,3/27/2025,16:45,4330
12045500,3/27/2025,17:00,4280
12045500,3/27/2025,17:15,4280
12045500,3/27/2025,17:30,4280
12045500,3/27/2025,17:45,4250
12045500,3/27/2025,18:00,4250
12045500,3/27/2025,18:15,4250
12045500,3/27/2025,18:30,4200
12045500,3/27/2025,18:45,4230
12045500,3/27/2025,19:00,4200
12045500,3/27/2025,19:15,4160
12045500,3/27/2025,19:30,4200
12045500,3/27/2025,19:45,4160
12045500,3/27/2025,20:00,4090
12045500,3/27/2025,20:15,4110
12045500,3/27/2025,20:30,4130
12045500,3/27/2025,20:45,4060
12045500,3/27/2025,21:00,4040
12045500,3/27/2025,21:15,4040
12045500,3/27/2025,21:30,4090
12045500,3/27/2025,21:45,4080
12045500,3/27/2025,22:00,4040
12045500,3/27/2025,22:15,4060
12045500,3/27/2025,22:30,4080
12045500,3/27/2025,22:45,4060
12045500,3/27/2025,23:00,4030
12045500,3/27/2025,23:15,4030
12045500,3/27/2025,23:30,4030
12045500,3/27/2025,23:45,4000
12045500,3/28/2025,0:00,4030
12045500,3/28/2025,0:15,4060
12045500,3/28/2025,0:30,4040
12045500,3/28/2025,0:45,3980
12045500,3/28/2025,1:00,4000
12045500,3/28/2025,1:15,3980
12045500,3/28/2025,1:30,4000
12045500,3/28/2025,1:45,3980
12045500,3/28/2025,2:00,3960
12045500,3/28/2025,2:15,4000
12045500,3/28/2025,2:30,3980
12045500,3/28/2025,2:45,3950
12045500,3/28/2025,3:00,3950
12045500,3/28/2025,3:15,3980
12045500,3/28/2025,3:30,3910
12045500,3/28/2025,3:45,3930
12045500,3/28/2025,4:00,3910
12045500,3/28/2025,4:15,3960
12045500,3/28/2025,4:30,3980
12045500,3/28/2025,4:45,3880
12045500,3/28/2025,5:00,3910
12045500,3/28/2025,5:15,3950
12045500,3/28/2025,5:30,3900
12045500,3/28/2025,5:45,3910
12045500,3/28/2025,6:00,3900
12045500,3/28/2025,6:15,3880
12045500,3/28/2025,6:30,3900
12045500,3/28/2025,6:45,3830
12045500,3/28/2025,7:00,3830
12045500,3/28/2025,7:15,3800
12045500,3/28/2025,7:30,3830
12045500,3/28/2025,7:45,3860
12045500,3/28/2025,8:00,3820
12045500,3/28/2025,8:15,3800
12045500,3/28/2025,8:30,3780
12045500,3/28/2025,8:45,3780
12045500,3/28/2025,9:00,3780
12045500,3/28/2025,9:15,3750
12045500,3/28/2025,9:30,3770
12045500,3/28/2025,9:45,3720
12045500,3/28/2025,10:00,3700
12045500,3/28/2025,10:15,3690
12045500,3/28/2025,10:30,3720
12045500,3/28/2025,10:45,3690
12045500,3/28/2025,11:00,3700
12045500,3/28/2025,11:15,3700
12045500,3/28/2025,11:30,3690
12045500,3/28/2025,11:45,3670
12045500,3/28/2025,12:00,3660
12045500,3/28/2025,12:15,3690
12045500,3/28/2025,12:30,3620
12045500,3/28/2025,12:45,3640
12045500,3/28/2025,13:00,3620
12045500,3/28/2025,13:15,3620
12045500,3/28/2025,13:30,3660
12045500,3/28/2025,13:45,3610
12045500,3/28/2025,14:00,3590
12045500,3/28/2025,14:15,3590
12045500,3/28/2025,14:30,3590
12045500,3/28/2025,14:45,3580
12045500,3/28/2025,15:00,3580
12045500,3/28/2025,15:15,3590
12045500,3/28/2025,15:30,3550
12045500,3/28/2025,15:45,3560
12045500,3/28/2025,16:00,3590
12045500,3/28/2025,16:15,3560
12045500,3/28/2025,16:30,3590
12045500,3/28/2025,16:45,3500
12045500,3/28/2025,17:00,3560
12045500,3/28/2025,17:15,3590
12045500,3/28/2025,17:30,3580
12045500,3/28/2025,17:45,3550
12045500,3/28/2025,18:00,3550
12045500,3/28/2025,18:15,3530
12045500,3/28/2025,18:30,3530
12045500,3/28/2025,18:45,3520
12045500,3/28/2025,19:00,3520
12045500,3/28/2025,19:15,3550
12045500,3/28/2025,19:30,3560
12045500,3/28/2025,19:45,3530
12045500,3/28/2025,20:00,3530
12045500,3/28/2025,20:15,3580
12045500,3/28/2025,20:30,3560
12045500,3/28/2025,20:45,3580
12045500,3/28/2025,21:00,3580
12045500,3/28/2025,21:15,3610
12045500,3/28/2025,21:30,3610
12045500,3/28/2025,21:45,3590
12045500,3/28/2025,22:00,3610
12045500,3/28/2025,22:15,3580
12045500,3/28/2025,22:30,3620
12045500,3/28/2025,22:45,3620
12045500,3/28/2025,23:00,3580
12045500,3/28/2025,23:15,3590
12045500,3/28/2025,23:30,3560
12045500,3/28/2025,23:45,3580
12045500,3/29/2025,0:00,3580
12045500,3/29/2025,0:15,3590
12045500,3/29/2025,0:30,3530
12045500,3/29/2025,0:45,3550
12045500,3/29/2025,1:00,3550
12045500,3/29/2025,1:15,3550
12045500,3/29/2025,1:30,3490
12045500,3/29/2025,1:45,3470
12045500,3/29/2025,2:00,3490
12045500,3/29/2025,2:15,3500
12045500,3/29/2025,2:30,3490
12045500,3/29/2025,2:45,3490
12045500,3/29/2025,3:00,3450
12045500,3/29/2025,3:15,3450
12045500,3/29/2025,3:30,3440
12045500,3/29/2025,3:45,3420
12045500,3/29/2025,4:00,3390
12045500,3/29/2025,4:15,3390
12045500,3/29/2025,4:30,3360
12045500,3/29/2025,4:45,3410
12045500,3/29/2025,5:00,3360
12045500,3/29/2025,5:15,3330
12045500,3/29/2025,5:30,3300
12045500,3/29/2025,5:45,3350
12045500,3/29/2025,6:00,3320
12045500,3/29/2025,6:15,3330
12045500,3/29/2025,6:30,3290
12045500,3/29/2025,6:45,3290
12045500,3/29/2025,7:00,3300
12045500,3/29/2025,7:15,3270
12045500,3/29/2025,7:30,3270
